recipe_id,calories,fat,carbohydrates,protein,cholesterol,sodium,fiber,recipe_name
244979,0.21092457308954649,0.20665484584276023,0.13519717988368574,0.22565724361915313,0.12499483503088432,0.22719674865156453,0.24948402367161163,Chef John's Peanut Curry Chicken
78299,0.11101293320502448,0.08721213677767863,0.1158832970431592,0.10363517855101848,0.05227056737655163,0.15643054825189687,0.2869066272223534,Boilermaker Tailgate Chili
14606,0.12211422652552692,0.14788144931867248,0.02575184378736871,0.10530671368893813,0.09999586802470746,0.04841897922082523,0.01247420118358058,Beef Tenderloin With Roasted Shallots
220989,0.07030819102984884,0.05498156449027566,0.03862776568105306,0.10196364341309883,0.0704516342901348,0.3631423441561892,0.01247420118358058,Maple-Brined Pork Loin
56927,0.03700431106834149,0.030334656270496915,0.03862776568105306,0.020058421655035834,0.022726333641978968,0.029796294905123217,0.04989680473432232,Delicious Ham and Potato Soup
235985,0.07030819102984884,0.0625652285578999,0.06437960946842178,0.056832194689268194,0.0727242676543327,0.04096990549454442,0.08731940828506407,A Scotsman's Shepherd Pie
23157,0.13691595095286352,0.1061712969467392,0.006437960946842177,0.31090553565305545,0.23408123651238336,0.02234722117884241,0.01871130177537087,Turkey in a Bag
234534,0.09621120877768788,0.07204480864243018,0.09013145325579049,0.09862057313725951,0.0727242676543327,0.11918517962049287,0.12474201183580581,Beef and Guinness® Stew
24559,0.18502155534170744,0.1763201895722633,0.10944533609631701,0.1989126814124387,0.18181066913583174,0.12290971648363326,0.01247420118358058,Sylvia's Ribs
77625,0.05550646660251224,0.07583664067624228,0.012875921893684354,0.04178837844799132,0.04090740055556214,0.07635300569437824,0.00623710059179029,Deer Poppers
200340,0.2701314707988929,0.39055869948264776,0.01931388284052653,0.1838688651711618,0.37498450509265296,0.11732291118892266,0.01247420118358058,Grilled Filet Mignon with Gorgonzola Cream Sauce
169512,0.04810560438884394,0.06446114457480595,0.006437960946842177,0.03510223789631271,0.04090740055556214,0.05214351608396563,0.01871130177537087,Jalapeno Snacks
231291,0.02960344885467319,0.007583664067624229,0.03862776568105306,0.053489124413428894,0.015908433549385276,0.07449073726280804,0.043659704142532035,Hearty Chicken and Rice Soup
237996,0.05920689770934638,0.06066931254099383,0.03862776568105306,0.03844530817215201,0.03181686709877055,0.06331712667338683,0.03742260355074174,Cream of Chicken and Gnocchi Soup
76957,0.06290732881618054,0.0625652285578999,0.012875921893684354,0.09862057313725951,0.0681790009259369,0.009311342157851005,0.03742260355074174,Fast Chicken Soup Base
232096,0.07030819102984884,0.06825297660861807,0.05150368757473742,0.07354754606846473,0.03636213382716635,0.16574189040974788,0.15592751479475725,Slow Cooker Zucchini Soup
12942,0.07030819102984884,0.07204480864243018,0.04506572662789524,0.06351833524094681,0.04318003391976004,0.09311342157851005,0.1434533136111767,Italian Sausage Soup
25502,0.07770905324351714,0.09100396881149074,0.04506572662789524,0.045131448723830625,0.022726333641978968,0.042832173926114624,0.06237100591790291,Southwestern Egg Rolls
211541,0.06290732881618054,0.04739790042265143,0.03862776568105306,0.10697824882685779,0.06590636756173901,0.06331712667338683,0.08108230769327378,Pork Stew in Green Salsa (Guisado de Puerco con Tomatillos)
215447,0.09991163988452202,0.09669171686220891,0.0836934923089483,0.06853294065470576,0.04999793401235373,0.059592589810246434,0.10603071006043494,Dad's Leftover Turkey Pot Pie
229949,0.06290732881618054,0.04360606838883931,0.06437960946842178,0.07187601093054508,0.04772530064815583,0.06704166353652724,0.16216461538654756,Creamy White Chili
223042,0.08881034656401958,0.07204480864243018,0.05150368757473742,0.14040895158525085,0.1409032685802696,0.06331712667338683,0.01247420118358058,Chicken Parmesan
166160,0.10361207099135618,0.07014889262552412,0.006437960946842177,0.23234338417083175,0.1522664354012591,0.050281247652395424,0.02494840236716116,Juicy Thanksgiving Turkey
81565,0.07030819102984884,0.08910805279458468,0.04506572662789524,0.020058421655035834,0.009090533456791587,0.046556710789255024,0.056133905326112614,"Curried Cashew, Pear, and Grape Salad"
13464,0.09991163988452202,0.08152438872696045,0.006437960946842177,0.22732877875707277,0.15908433549385276,0.04096990549454442,0.00623710059179029,"Homestyle Turkey, the Michigander Way"
9146,0.09991163988452202,0.08152438872696045,0.006437960946842177,0.22900031389499245,0.15908433549385276,0.05586805294710603,0.00623710059179029,"Homestyle Turkey, the Michigander Way"
213015,0.08140948435035128,0.07394072465933624,0.06437960946842178,0.07020447579262543,0.038634767191364244,0.08752661628379944,0.13721621301938638,Dave's Georgia Black Eyed Peas
8932,0.04070474217517564,0.041710152371933255,0.02575184378736871,0.05014605413758959,0.03408950046296845,0.014898147452561608,0.03742260355074174,Fruity Curry Chicken Salad
143458,0.10361207099135618,0.07394072465933624,0.10944533609631701,0.09862057313725951,0.04772530064815583,0.09683795844165045,0.09355650887685435,Amazing Southwest Cilantro Lime Mango Grilled Chicken Sandwiches
233661,0.13321551984602936,0.11375496101436343,0.10300737514947483,0.14375202186109015,0.12044956830248853,0.11359837432578226,0.11850491124401552,Chef John's Lasagna
219079,0.173920262021205,0.20475892982585417,0.006437960946842177,0.22900031389499245,0.19317383595682122,0.07262846883123784,0.01871130177537087,Chef John's Roast Turkey and Gravy
14178,0.07030819102984884,0.09100396881149074,0.02575184378736871,0.043459913585910975,0.027271600370374762,0.05586805294710603,0.04989680473432232,Red Broccoli Salad
219048,0.04440517328200979,0.05498156449027566,0.006437960946842177,0.053489124413428894,0.04772530064815583,0.15456827982032667,0.01247420118358058,Pork Carnitas
